Source,Target,Label,Publication_name
213/0430,257/6397,14847,"Bat algorithm-based weighted Laplacian probabilistic neural network."
144/2986,86/3289,14849,"Monitoring the fill level of a ball mill using vibration sensing and artificial neural network."
144/2986,147/5499,14849,"Monitoring the fill level of a ball mill using vibration sensing and artificial neural network."
144/2986,258/6721,14849,"Monitoring the fill level of a ball mill using vibration sensing and artificial neural network."
86/3289,147/5499,14849,"Monitoring the fill level of a ball mill using vibration sensing and artificial neural network."
86/3289,258/6721,14849,"Monitoring the fill level of a ball mill using vibration sensing and artificial neural network."
147/5499,258/6721,14849,"Monitoring the fill level of a ball mill using vibration sensing and artificial neural network."
179/0608,154/9761,14851,"A quadratic boundedness approach to a neural network-based simultaneous estimation of actuator and sensor faults."
179/0608,68/4739,14851,"A quadratic boundedness approach to a neural network-based simultaneous estimation of actuator and sensor faults."
179/0608,81/2683,14851,"A quadratic boundedness approach to a neural network-based simultaneous estimation of actuator and sensor faults."
154/9761,68/4739,14851,"A quadratic boundedness approach to a neural network-based simultaneous estimation of actuator and sensor faults."
154/9761,81/2683,14851,"A quadratic boundedness approach to a neural network-based simultaneous estimation of actuator and sensor faults."
68/4739,81/2683,14851,"A quadratic boundedness approach to a neural network-based simultaneous estimation of actuator and sensor faults."
81/516,147/8580,14854,"A novel modular RBF neural network based on a brain-like partition method."
81/516,98/2354,14854,"A novel modular RBF neural network based on a brain-like partition method."
81/516,38/3937,14854,"A novel modular RBF neural network based on a brain-like partition method."
147/8580,98/2354,14854,"A novel modular RBF neural network based on a brain-like partition method."
147/8580,38/3937,14854,"A novel modular RBF neural network based on a brain-like partition method."
98/2354,38/3937,14854,"A novel modular RBF neural network based on a brain-like partition method."
225/8078,167/0653,14861,"Automatic detection of lung cancer from biomedical data set using discrete AdaBoost optimized ensemble learning generalized neural networks."
225/8078,212/1489,14861,"Automatic detection of lung cancer from biomedical data set using discrete AdaBoost optimized ensemble learning generalized neural networks."
225/8078,225/8125,14861,"Automatic detection of lung cancer from biomedical data set using discrete AdaBoost optimized ensemble learning generalized neural networks."
167/0653,212/1489,14861,"Automatic detection of lung cancer from biomedical data set using discrete AdaBoost optimized ensemble learning generalized neural networks."
167/0653,225/8125,14861,"Automatic detection of lung cancer from biomedical data set using discrete AdaBoost optimized ensemble learning generalized neural networks."
212/1489,225/8125,14861,"Automatic detection of lung cancer from biomedical data set using discrete AdaBoost optimized ensemble learning generalized neural networks."
18/8544,159/2187,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
18/8544,154/3805,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
18/8544,150/1679,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
18/8544,39/2699-1,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
159/2187,154/3805,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
159/2187,150/1679,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
159/2187,39/2699-1,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
154/3805,150/1679,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
154/3805,39/2699-1,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
150/1679,39/2699-1,14873,"Alcoholism identification via convolutional neural network based on parametric ReLU, dropout, and batch normalization."
185/3592,129/2286,14879,"Understanding auditory representations of emotional expressions with neural networks."
185/3592,30/2130,14879,"Understanding auditory representations of emotional expressions with neural networks."
185/3592,03/3914,14879,"Understanding auditory representations of emotional expressions with neural networks."
129/2286,30/2130,14879,"Understanding auditory representations of emotional expressions with neural networks."
129/2286,03/3914,14879,"Understanding auditory representations of emotional expressions with neural networks."
30/2130,03/3914,14879,"Understanding auditory representations of emotional expressions with neural networks."
176/9302,49/581,14883,"A database-driven neural computing framework for classification of vertical jump patterns of healthy female netballers using 3D kinematics-EMG features."
176/9302,117/6963,14883,"A database-driven neural computing framework for classification of vertical jump patterns of healthy female netballers using 3D kinematics-EMG features."
49/581,117/6963,14883,"A database-driven neural computing framework for classification of vertical jump patterns of healthy female netballers using 3D kinematics-EMG features."
97/4708,21/4944,14891,"Nested rings - a simple scalable ring-based ROADM structure for neural application computing in mega datacenters."
86/7869,72/5531,15215,"Constructing multilayered neural networks with sparse, data-driven connectivity using biologically-inspired, complementary, homeostatic mechanisms."
203/4777,225/8758,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
203/4777,09/4891,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
203/4777,k/AloisKnoll,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
203/4777,86/489-1,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
225/8758,09/4891,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
225/8758,k/AloisKnoll,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
225/8758,86/489-1,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
09/4891,k/AloisKnoll,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
09/4891,86/489-1,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
k/AloisKnoll,86/489-1,15216,"Indirect and direct training of spiking neural networks for end-to-end control of a lane-keeping vehicle."
230/2126,180/6757,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
230/2126,34/7343,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
230/2126,24/647,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
230/2126,91/1037,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
180/6757,34/7343,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
180/6757,24/647,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
180/6757,91/1037,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
34/7343,24/647,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
34/7343,91/1037,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
24/647,91/1037,15219,"Global exponential synchronization of delayed memristive neural networks with reaction-diffusion terms."
189/4345,30/4194,15221,"A broad class of discrete-time hypercomplex-valued Hopfield neural networks."
03/1359,73/6284,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
03/1359,40/1762,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
03/1359,33/5774,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
03/1359,170/4295,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
03/1359,39/6153-9,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
73/6284,40/1762,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
73/6284,33/5774,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
73/6284,170/4295,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
73/6284,39/6153-9,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
40/1762,33/5774,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
40/1762,170/4295,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
40/1762,39/6153-9,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
33/5774,170/4295,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
33/5774,39/6153-9,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
170/4295,39/6153-9,15222,"A new fixed-time stability theorem and its application to the fixed-time synchronization of neural networks."
01/2038,228/1667,15223,"The GH-EXIN neural network for hierarchical clustering."
01/2038,238/7860,15223,"The GH-EXIN neural network for hierarchical clustering."
